Name,Area,Address,Phone,Reviews,Services
VO2 Vegan Cafe,Central Square,"1001 Massachusetts Ave
Cambridge, MA 02138",(617) 492-2233,82 reviews,Vegan
Veggie Galaxy,Central Square,"450 Massachusetts Ave
Cambridge, MA 02139",(617) 497-1513,903 reviews,Vegan
Life Alive,Central Square,"765 Mass Ave
Cambridge, MA 02139",(617) 354-5433,1231 reviews,Vegan
Grasshopper Restaurant,Allston/Brighton,"1 N Beacon St
Allston, MA 02134",(617) 254-8883,508 reviews,Vegan
Cornish Pasty,Back Bay,"51 Massachusetts Ave
Boston, MA 02115",(857) 250-4497,138 reviews,Vegan
Cuong's Vegan Sandwiches,Chinatown,"5 Beach St
Boston, MA 02111",(617) 422-5898,65 reviews,Vegan
My Thai Vegan Cafe,Chinatown,"3 Beach St
Boston, MA 02111",(617) 451-2395,693 reviews,Vegan
by CHLOE. Fenway,Fenway,"100 Van Ness St
Boston, MA 02215",,85 reviews,Vegan
Zhu,East Arlington,"166 Massachusetts Ave
Arlington, MA 02474",(781) 646-7600,93 reviews,Vegan
Yard House,Fenway,"126 Brookline Ave
Boston-Fenway, MA 02215",(617) 236-4083,623 reviews,Bars
Refuge Cafe,Allston/Brighton,"155 Brighton Ave
Boston, MA 02134",(617) 202-5409,227 reviews,Bars
Kendall Kitchen,Kendall Square/MIT,"201 Broadway
Cambridge, MA 02139",(617) 225-7704,37 reviews,Bars
sweetgreen,Back Bay,"800 Boylston St
Boston, MA 02199",(857) 753-4982,63 reviews,Bars
Clover Food Lab - BLV,Brookline Village,"6 Harvard St
Brookline, MA 02445",,90 reviews,Bars
sweetgreen,Fenway,"132 Brookline Ave
Boston, MA 02215",(857) 233-2673,60 reviews,Bars
Moody's Falafel Palace,Central Square,"25 Central Sq
Cambridge, MA 02139",(617) 864-0827,512 reviews,Bars
Clover,Downtown,"City Hall Plz
Boston, MA 02108",,49 reviews,Bars
sweetgreen,Downtown,"13 School St
Boston, MA 02108",(857) 990-3191,69 reviews,Bars
FoMu,Allston/Brighton,"481 Cambridge St
Allston, MA 02134",(617) 903-3276,413 reviews,Ice Cream & Frozen Yogurt
Blue State Coffee,Allston/Brighton,"957 Commonwealth Ave
Boston, MA 02215",(617) 254-0929,186 reviews,Ice Cream & Frozen Yogurt
Cocobeet,Downtown,"100 City Hall Plz
Boston, MA 02108",(857) 263-8598,185 reviews,Ice Cream & Frozen Yogurt
Fiore's Bakery,Jamaica Plain,"55 South St
Jamaica Plain, MA 02130",(617) 524-9200,299 reviews,Ice Cream & Frozen Yogurt
Le's Vietnamese Resturant,Allston/Brighton,"137 Brighton Ave
Allston, MA 02134",(617) 783-2340,565 reviews,Ice Cream & Frozen Yogurt
Mexicali Burrito Co,Kendall Square/MIT,"500 Technology Sq
Cambridge, MA 02139",(617) 225-2777,120 reviews,Ice Cream & Frozen Yogurt
Cafe Barada,North Cambridge,"2269 Massachusetts Ave
Cambridge, MA 02140",(617) 354-4446,196 reviews,Ice Cream & Frozen Yogurt
sweetgreen,Back Bay,"659 Boylston St
Boston, MA 02116",(617) 936-3464,476 reviews,Ice Cream & Frozen Yogurt
Clover Food Lab - DTX,Downtown,"27 School St
Boston, MA 02108",(617) 555-5555,124 reviews,Ice Cream & Frozen Yogurt
