"url","Result","Name","Name_link","Review Count","Price","Services","Category List Link","Category List Link_link","Neighborhood","Address","City, ST Zip","Phone"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","Ad","Curry House","https://www.yelp.com/adredir?ad_business_id=Lz8FSSRB_r9X8RI2YEy97w&campaign_id=D2oOEDXs8szeCJlh1NwRgA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcurry-house-brookline&request_id=129b839b03f15b35&signature=0e9396db44bbff18a9f259353de8b4d57a7991004dda972d12fb5dc9a14b82fb&slot=0","174 reviews","$$","Indian, Vegetarian, Halal","Indian; Vegetarian; Halal","https://www.yelp.com/search?cflt=indpak&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegetarian&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=halal&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Coolidge Corner","1335 Beacon St","Brookline, MA 02446","(617) 734-3971"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","Ad","Veggie Crust","https://www.yelp.com/adredir?ad_business_id=xCwdTXySn_B-3PC2Jwm5OQ&campaign_id=6ZHuR1MG2RwLJEjbrivhNw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fveggie-crust-somerville&request_id=129b839b03f15b35&signature=5094ab4b81c28480b7944f4825a3b71e2cd3bc371b8efe2310d492eed0aa0662&slot=1","107 reviews","$$","Pizza, Vegetarian, Vegan","Pizza; Vegetarian; Vegan","https://www.yelp.com/search?cflt=pizza&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegetarian&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","","445 Somerville Ave","Somerville, MA 02143","(617) 764-4605"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","1.","Whole Heart Provisions","https://www.yelp.com/biz/whole-heart-provisions-allston?osq=vegan","210 reviews","$$","Vegetarian, Vegan, Cafes","Vegetarian; Vegan; Cafes","https://www.yelp.com/search?cflt=vegetarian&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=cafes&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Allston/Brighton","487 Cambridge St","Allston, MA 02134","(617) 202-5041"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","2.","VO2 Vegan Cafe","https://www.yelp.com/biz/vo2-vegan-cafe-cambridge-4?osq=vegan","82 reviews","$$","Vegan, Juice Bars & Smoothies, Breakfast & Brunch","Vegan; Juice Bars & Smoothies; Breakfast & Brunch","https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=juicebars&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=breakfast_brunch&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Central Square","1001 Massachusetts Ave","Cambridge, MA 02138","(617) 492-2233"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","3.","Veggie Galaxy","https://www.yelp.com/biz/veggie-galaxy-cambridge?osq=vegan","903 reviews","$$","Vegetarian, Gluten-Free, Bakeries","Vegetarian; Gluten-Free; Bakeries","https://www.yelp.com/search?cflt=vegetarian&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=gluten_free&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=bakeries&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Central Square","450 Massachusetts Ave","Cambridge, MA 02139","(617) 497-1513"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","4.","Life Alive","https://www.yelp.com/biz/life-alive-cambridge?osq=vegan","1231 reviews","$$","Vegetarian, Vegan, Juice Bars & Smoothies","Vegetarian; Vegan; Juice Bars & Smoothies","https://www.yelp.com/search?cflt=vegetarian&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=juicebars&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Central Square","765 Mass Ave","Cambridge, MA 02139","(617) 354-5433"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","5.","Grasshopper Restaurant","https://www.yelp.com/biz/grasshopper-restaurant-allston?osq=vegan","508 reviews","$$","Chinese, Vegetarian, Vegan","Chinese; Vegetarian; Vegan","https://www.yelp.com/search?cflt=chinese&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegetarian&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Allston/Brighton","1 N Beacon St","Allston, MA 02134","(617) 254-8883"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","6.","Cornish Pasty","https://www.yelp.com/biz/cornish-pasty-boston-3?osq=vegan","138 reviews","$$","British, Vegan, Vegetarian","British; Vegan; Vegetarian","https://www.yelp.com/search?cflt=british&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegetarian&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Back Bay","51 Massachusetts Ave","Boston, MA 02115","(857) 250-4497"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","7.","Cuong’s Vegan Sandwiches","https://www.yelp.com/biz/cuongs-vegan-sandwiches-boston-2?osq=vegan","65 reviews","$","Sandwiches, Vegan, Bubble Tea","Sandwiches; Vegan; Bubble Tea","https://www.yelp.com/search?cflt=sandwiches&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=bubbletea&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Chinatown","5 Beach St","Boston, MA 02111","(617) 422-5898"
"https://www.yelp.com/search?find_desc=vegan&start=0&cflt=vegan,vegetarian&l=p:MA:Boston::%5BAllston/Brighton,Arlington_Center,Arlington_Heights,Back_Bay,Beacon_Hill,Brookline_Village,Central_Square,Chinatown,Downtown,East_Arlington,East_Cambridge,Fenway,Jamaica_Plain,Kendall_Square/MIT,Mission_Hill,North_Cambridge,South_End,West_End%5D","8.","My Thai Vegan Cafe","https://www.yelp.com/biz/my-thai-vegan-cafe-boston-3?osq=vegan","693 reviews","$$","Thai, Vegan","Thai; Vegan","https://www.yelp.com/search?cflt=thai&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D; https://www.yelp.com/search?cflt=vegan&find_desc=vegan&l=p%3AMA%3ABoston%3A%3A%5BAllston%2FBrighton%2CArlington_Center%2CArlington_Heights%2CBack_Bay%2CBeacon_Hill%2CBrookline_Village%2CCentral_Square%2CChinatown%2CDowntown%2CEast_Arlington%2CEast_Cambridge%2CFenway%2CJamaica_Plain%2CKendall_Square%2FMIT%2CMission_Hill%2CNorth_Cambridge%2CSouth_End%2CWest_End%5D","Chinatown","3 Beach St","Boston, MA 02111","(617) 451-2395"
